id;gercek_veritabani;gercek_log_tablo;gercekaciklamasi;test_veritabani;test_log_tablo;testaciklamasi
1;Officer CSS violet;sticky Upgradable Senior;generate RSS Borders;Car;Account EXE Bedfordshire;Renminbi
2;copying PNG copy;monitor;Yen schemas Unbranded;recontextualize;architectures Operations Computer;utilize
3;Lucia Persistent parsing;Savings;New calculating Road;Berkshire;Rest 17(E.U.A.-17) digital;optimize Gateway
4;dedicated index ADP;backing global;system;transform Minnesota synthesizing;supply-chains exploit;Iranian Central analyzer
5;Pennsylvania;Functionality Path Polarised;Granite Practical Agent;Coordinator one-to-one Gloves;program Mount;Paradigm haptic
6;feed;Interface Frozen;drive Tenge Berkshire;Fully-configurable;Vision-oriented;orange programming
7;Interactions Fish Shoes;payment;redundant Komorlar;green bluetooth;Baby Common;Coordinator payment
8;Architect Kansas primary;Salad SCSI;protocol compress;Concrete;e-markets Mississippi;Rustic Communications Awesome
9;multi-byte Zloty optimize;aggregate Account Metal;backing payment bluetooth;Soft;bandwidth Table;context-sensitive cross-platform
10;red Agent index;Legacy orchid;Technician quantifying;Amerika copy Laos;maroon eyeballs Wooden;violet Regional
