id;projedi;proje_kodu;aciklama
1;Investor Cheese Lübnan;efficient;Loan
2;Future;navigate auxiliary;Berkshire
3;Wall;Towels;Grocery Profound
4;Awesome Awesome Lead;National;Avon Outdoors
5;Jersey Executive directional;Enhanced RSS;Future
6;reintermediate HTTP;technologies;Consultant Computers analyzing
7;HTTP;purple Program;emulation Maryland Bangladeş
8;SMS;Avon Operations connecting;bandwidth Overpass deposit
9;Unbranded Gloves;Human Global technologies;Russian bypass clicks-and-mortar
10;real-time needs-based Quality;metrics visualize payment;mission-critical multi-byte
